TWA\TWS;8;10;12;14;16;20;40
0;0.000;0.000;0.000;0.000;0.000;0.000;0.000
40;3.900;4.200;4.800;5.150;5.900;7.100;7.100
45;4.288;4.776;5.225;5.678;6.183;7.863;7.863
60;4.935;5.454;5.948;6.427;6.936;8.466;8.466
70;5.098;5.629;6.132;6.572;7.062;8.335;8.335 
80;5.154;5.687;6.145;6.562;7.017;8.007;8.007
90;5.075;5.599;5.994;6.442;6.810;7.577;7.577
110;4.652;5.139;5.584;5.924;6.273;6.953;6.953
120;4.373;4.885;5.305;5.705;6.066;6.717;6.717
135;3.954;4.529;5.028;5.463;5.856;6.566;6.566
150;3.744;4.371;4.890;5.357;5.770;6.519;6.519
165;3.627;4.263;4.807;5.270;5.695;6.434;6.434
172;3.581;4.203;4.746;5.193;5.612;6.360;6.366
180;3.483;4.119;4.657;5.122;5.537;6.262;6.262
